Date,Close,High,Low,Open
1/2/1995,470.1217346,470.1217346,470.1217346,470.1217346
1/3/1995,472.3616333,472.3616333,472.3616333,472.3616333
1/4/1995,474.4715271,474.4715271,474.4715271,474.4715271
1/5/1995,477.8014221,477.8014221,477.8014221,477.8014221
1/6/1995,481.2012634,481.2012634,481.2012634,481.2012634
1/9/1995,477.0214539,477.0214539,477.0214539,477.0214539
1/10/1995,468.6717529,468.6717529,468.6717529,468.6717529
1/11/1995,461.3820496,461.3820496,461.3820496,461.3820496
1/12/1995,452.6723633,452.6723633,452.6723633,452.6723633
1/13/1995,441.8527832,441.8527832,441.8527832,441.8527832
1/16/1995,447.2825928,447.2825928,447.2825928,447.2825928
1/17/1995,449.0825195,449.0825195,449.0825195,449.0825195
1/18/1995,449.8224792,449.8224792,449.8224792,449.8224792
1/19/1995,451.7724304,451.7724304,451.7724304,451.7724304
1/20/1995,446.0626221,446.0626221,446.0626221,446.0626221
1/23/1995,436.1430054,436.1430054,436.1430054,436.1430054
1/24/1995,435.4430542,435.4430542,435.4430542,435.4430542
1/25/1995,432.9431458,432.9431458,432.9431458,432.9431458
1/26/1995,434.4430542,434.4430542,434.4430542,434.4430542
1/27/1995,437.1329956,437.1329956,437.1329956,437.1329956
1/30/1995,437.2430115,437.2430115,437.2430115,437.2430115
1/31/1995,433.8131104,433.8131104,433.8131104,433.8131104
2/1/1995,434.6330566,434.6330566,434.6330566,434.6330566
2/2/1995,440.4828491,440.4828491,440.4828491,440.4828491
2/3/1995,445.3626404,445.3626404,445.3626404,445.3626404
2/6/1995,453.1223755,453.1223755,453.1223755,453.1223755
2/7/1995,457.3121948,457.3121948,457.3121948,457.3121948
2/8/1995,451.9324341,451.9324341,451.9324341,451.9324341
2/9/1995,450.812439,450.812439,450.812439,450.812439
2/10/1995,453.2923584,453.2923584,453.2923584,453.2923584
2/13/1995,455.6822815,455.6822815,455.6822815,455.6822815
2/14/1995,454.0823669,454.0823669,454.0823669,454.0823669
2/15/1995,456.432251,456.432251,456.432251,456.432251
2/16/1995,455.5722656,455.5722656,455.5722656,455.5722656
2/17/1995,453.1223755,453.1223755,453.1223755,453.1223755
2/20/1995,454.0123596,454.0123596,454.0123596,454.0123596
2/21/1995,455.8122559,455.8122559,455.8122559,455.8122559
2/22/1995,454.8722839,454.8722839,454.8722839,454.8722839
2/23/1995,454.3823242,454.3823242,454.3823242,454.3823242
2/24/1995,454.6722717,454.6722717,454.6722717,454.6722717
2/27/1995,452.5523987,452.5523987,452.5523987,452.5523987
2/28/1995,453.5623474,453.5623474,453.5623474,453.5623474
3/1/1995,452.8623657,452.8623657,452.8623657,452.8623657
3/7/1995,447.2026062,447.2026062,447.2026062,447.2026062
3/8/1995,437.2829895,437.2829895,437.2829895,437.2829895
3/9/1995,437.4830017,437.4830017,437.4830017,437.4830017
3/10/1995,432.7131653,432.7131653,432.7131653,432.7131653
3/13/1995,429.9232788,429.9232788,429.9232788,429.9232788
3/14/1995,425.2034302,425.2034302,425.2034302,425.2034302
3/15/1995,428.6533203,428.6533203,428.6533203,428.6533203
3/16/1995,427.1833801,427.1833801,427.1833801,427.1833801
3/17/1995,426.6534119,426.6534119,426.6534119,426.6534119
3/20/1995,426.9234009,426.9234009,426.9234009,426.9234009
3/21/1995,427.1733704,427.1733704,427.1733704,427.1733704
3/22/1995,425.9034424,425.9034424,425.9034424,425.9034424
3/23/1995,426.233429,426.233429,426.233429,426.233429
3/24/1995,422.1135559,422.1135559,422.1135559,422.1135559
3/27/1995,423.5735168,423.5735168,423.5735168,423.5735168
3/28/1995,426.0634155,426.0634155,426.0634155,426.0634155
3/29/1995,428.9032898,428.9032898,428.9032898,428.9032898
3/30/1995,428.6233215,428.6233215,428.6233215,428.6233215
4/3/1995,424.4734497,424.4734497,424.4734497,424.4734497
4/4/1995,425.1834412,425.1834412,425.1834412,425.1834412
4/5/1995,428.5333252,428.5333252,428.5333252,428.5333252
4/6/1995,430.833252,430.833252,430.833252,430.833252
4/7/1995,428.9732666,428.9732666,428.9732666,428.9732666
4/10/1995,426.1034241,426.1034241,426.1034241,426.1034241
4/11/1995,424.0734863,424.0734863,424.0734863,424.0734863
4/12/1995,419.9836426,419.9836426,419.9836426,419.9836426
4/13/1995,419.4336853,419.4336853,419.4336853,419.4336853
4/17/1995,417.8237305,417.8237305,417.8237305,417.8237305
4/18/1995,414.9438171,414.9438171,414.9438171,414.9438171
4/19/1995,414.1938782,414.1938782,414.1938782,414.1938782
4/20/1995,414.3938904,414.3938904,414.3938904,414.3938904
4/21/1995,419.5036621,419.5036621,419.5036621,419.5036621
4/24/1995,420.173645,420.173645,420.173645,420.173645
4/25/1995,421.7635498,421.7635498,421.7635498,421.7635498
4/26/1995,419.5836792,419.5836792,419.5836792,419.5836792
4/27/1995,417.7937622,417.7937622,417.7937622,417.7937622
4/28/1995,416.4338074,416.4338074,416.4338074,416.4338074
5/1/1995,415.303833,415.303833,415.303833,415.303833
5/2/1995,420.1436462,420.1436462,420.1436462,420.1436462
5/3/1995,423.3735352,423.3735352,423.3735352,423.3735352
5/4/1995,424.3034973,424.3034973,424.3034973,424.3034973
5/5/1995,426.9933777,426.9933777,426.9933777,426.9933777
5/8/1995,428.5133362,428.5133362,428.5133362,428.5133362
5/9/1995,434.2731323,434.2731323,434.2731323,434.2731323
5/11/1995,459.5321045,459.5321045,459.5321045,459.5321045
