Test,Lag,F-Statistic,P-Value,Significant
Sentiment -> IHSG,1,0.3638224055120847,0.5514246989536009,False
Sentiment -> IHSG,2,2.6377034161418056,0.09215091075753089,False
Sentiment -> IHSG,3,1.8214612623412947,0.1741554689284834,False
Sentiment -> USD/IDR,1,0.10528379676214945,0.7480792609946318,False
Sentiment -> USD/IDR,2,1.9362815887897473,0.166116203960202,False
Sentiment -> USD/IDR,3,1.8436547730270871,0.17019696546760033,False
